chromosome,gene_id,gene_symbol,P-value,Zscore,Direction,regulation,heterogeneity_I_squared,heterogeneity_Chi_squared,heterogeneity_degrees_of_freedom_squared,heterogeneity_P-value
19,ENSG00000118156,ZNF541,0.08795,-1.706,--,Not differentially expressed,0,0.143,1,0.7051
12,ENSG00000172640,OR10AD1,0.08799,-1.706,--,Not differentially expressed,0,0.688,1,0.4069
4,ENSG00000163281,GNPDA2,0.08803,-1.706,--,Not differentially expressed,0,0.223,1,0.637
7,ENSG00000106052,TAX1BP1,0.08806,-1.706,--,Not differentially expressed,0,0.053,1,0.8175
7,ENSG00000004864,SLC25A13,0.08808,1.706,++,Not differentially expressed,0,0.514,1,0.4734
1,ENSG00000135773,CAPN9,0.08812,1.705,-+,Not differentially expressed,33.4,1.501,1,0.2205
4,ENSG00000145390,USP53,0.08813,1.705,++,Not differentially expressed,19.1,1.236,1,0.2662
22,ENSG00000100372,SLC25A17,0.08816,-1.705,--,Not differentially expressed,38.6,1.628,1,0.202
2,ENSG00000119004,CYP20A1,0.08823,1.705,++,Not differentially expressed,62.8,2.689,1,0.1011
9,ENSG00000056558,TRAF1,0.08825,1.705,++,Not differentially expressed,0,0.028,1,0.8679
2,ENSG00000115750,TAF1B,0.08827,-1.705,--,Not differentially expressed,49.7,1.989,1,0.1584
10,ENSG00000077420,APBB1IP,0.08829,1.704,++,Not differentially expressed,47.1,1.889,1,0.1693
2,ENSG00000013441,CLK1,0.08837,1.704,-+,Not differentially expressed,54.7,2.206,1,0.1375
12,ENSG00000060982,BCAT1,0.08839,-1.704,--,Not differentially expressed,0,0.805,1,0.3695
20,ENSG00000125863,MKKS,0.08846,-1.704,--,Not differentially expressed,0,0.944,1,0.3314
1,ENSG00000177301,KCNA2,0.08847,-1.704,--,Not differentially expressed,0,0.091,1,0.7627
19,ENSG00000261949,GFY,0.08847,-1.704,0-,Not differentially expressed,17.2,1.207,1,0.2718
3,ENSG00000163961,RNF168,0.08856,1.703,++,Not differentially expressed,79.1,4.79,1,0.02863
1,ENSG00000229887,HNRNPA1P6,0.08857,1.703,++,Not differentially expressed,4.2,1.043,1,0.307
12,ENSG00000151233,GXYLT1,0.08861,1.703,++,Not differentially expressed,43.7,1.776,1,0.1826
4,ENSG00000198948,MFAP3L,0.08861,1.703,++,Not differentially expressed,9.2,1.101,1,0.2941
17,ENSG00000167291,TBC1D16,0.08864,1.703,++,Not differentially expressed,0,0.096,1,0.7564
7,ENSG00000085563,ABCB1,0.08864,1.703,++,Not differentially expressed,5.7,1.06,1,0.3032
1,ENSG00000162630,B3GALT2,0.08865,-1.703,--,Not differentially expressed,17.8,1.216,1,0.2701
10,ENSG00000120008,WDR11,0.0887,-1.702,--,Not differentially expressed,43.1,1.756,1,0.1851
19,ENSG00000131943,C19orf12,0.0887,-1.702,--,Not differentially expressed,0,0.673,1,0.412
17,ENSG00000131748,STARD3,0.08873,1.702,++,Not differentially expressed,0,0.198,1,0.6562
20,ENSG00000101463,SYNDIG1,0.08876,-1.702,--,Not differentially expressed,0,0.405,1,0.5244
7,ENSG00000204959,ARHGEF34P,0.08876,1.702,0+,Not differentially expressed,17,1.205,1,0.2723
1,ENSG00000203782,LOR,0.08879,-1.702,0-,Not differentially expressed,17,1.205,1,0.2723
3,ENSG00000271235,AC114477.1,0.0888,-1.702,0-,Not differentially expressed,17,1.205,1,0.2723
22,ENSG00000185838,GNB1L,0.08884,-1.702,--,Not differentially expressed,0,0.044,1,0.834
12,ENSG00000139192,TAPBPL,0.08886,1.701,++,Not differentially expressed,0,0.604,1,0.4372
18,ENSG00000178127,NDUFV2,0.08892,-1.701,--,Not differentially expressed,26,1.351,1,0.2451
10,ENSG00000155629,PIK3AP1,0.08897,1.701,++,Not differentially expressed,0,0.274,1,0.6004
10,ENSG00000165887,ANKRD2,0.08898,-1.701,--,Not differentially expressed,0,0.879,1,0.3485
5,ENSG00000145545,SRD5A1,0.08901,-1.701,--,Not differentially expressed,0,0.85,1,0.3565
2,ENSG00000075426,FOSL2,0.08905,1.7,++,Not differentially expressed,31.2,1.454,1,0.2278
7,ENSG00000077080,ACTL6B,0.08916,-1.7,--,Not differentially expressed,0,0.353,1,0.5527
12,ENSG00000010278,CD9,0.08918,1.7,++,Not differentially expressed,0,0.101,1,0.7504
17,ENSG00000005379,TSPOAP1,0.08921,-1.7,+-,Not differentially expressed,32.2,1.475,1,0.2245
17,ENSG00000171634,BPTF,0.08922,1.7,++,Not differentially expressed,63.9,2.767,1,0.09624
2,ENSG00000074054,CLASP1,0.08922,-1.7,--,Not differentially expressed,0,0.042,1,0.8378
12,ENSG00000179088,C12orf42,0.0893,-1.699,0-,Not differentially expressed,16.7,1.201,1,0.2731
14,ENSG00000183828,NUDT14,0.08933,-1.699,--,Not differentially expressed,0,0.089,1,0.7656
2,ENSG00000134326,CMPK2,0.08934,-1.699,--,Not differentially expressed,0,0.951,1,0.3296
X,ENSG00000089472,HEPH,0.08937,1.699,-+,Not differentially expressed,32.6,1.484,1,0.2232
12,ENSG00000170442,KRT86,0.0894,-1.699,+-,Not differentially expressed,59.4,2.463,1,0.1166
11,ENSG00000184698,OR51M1,0.08941,1.699,++,Not differentially expressed,0,0.134,1,0.7146
11,ENSG00000110074,FOXRED1,0.08946,-1.698,--,Not differentially expressed,0,0.057,1,0.8107
21,ENSG00000142188,TMEM50B,0.08948,-1.698,--,Not differentially expressed,0,0.949,1,0.3299
5,ENSG00000135077,HAVCR2,0.08951,1.698,++,Not differentially expressed,0,0.185,1,0.6672
10,ENSG00000075891,PAX2,0.08958,-1.698,0-,Not differentially expressed,16.6,1.199,1,0.2735
20,ENSG00000197496,SLC2A10,0.08959,1.698,++,Not differentially expressed,34.3,1.522,1,0.2174
12,ENSG00000247077,PGAM5,0.08967,-1.697,--,Not differentially expressed,0,0.453,1,0.5008
15,ENSG00000259419,HNRNPCP3,0.08969,-1.697,--,Not differentially expressed,0,0.723,1,0.3951
12,ENSG00000198001,IRAK4,0.08971,1.697,++,Not differentially expressed,0,0.938,1,0.3329
19,ENSG00000175221,MED16,0.08973,1.697,++,Not differentially expressed,66.6,2.998,1,0.08338
11,ENSG00000132286,TIMM10B,0.08973,-1.697,--,Not differentially expressed,0,0.056,1,0.8131
X,ENSG00000184905,TCEAL2,0.08981,-1.696,+-,Not differentially expressed,56.5,2.3,1,0.1294
17,ENSG00000141560,FN3KRP,0.08981,-1.696,--,Not differentially expressed,0,0.009,1,0.9244
7,ENSG00000235436,DPY19L2P4,0.08982,-1.696,--,Not differentially expressed,0,0.24,1,0.6243
11,ENSG00000253547,AP001858.1,0.08982,-1.696,--,Not differentially expressed,0,0.874,1,0.3498
20,ENSG00000124134,KCNS1,0.08986,-1.696,--,Not differentially expressed,0,0.049,1,0.8243
2,ENSG00000138032,PPM1B,0.08986,1.696,-+,Not differentially expressed,76.5,4.25,1,0.03924
12,ENSG00000139116,KIF21A,0.08989,-1.696,--,Not differentially expressed,0,0.453,1,0.5007
15,ENSG00000140403,DNAJA4,0.08996,-1.696,--,Not differentially expressed,0,0.01,1,0.9206
14,ENSG00000100567,PSMA3,0.09,-1.695,--,Not differentially expressed,0,0.008,1,0.9297
2,ENSG00000162878,PKDCC,0.09002,-1.695,--,Not differentially expressed,0,0.045,1,0.8314
16,ENSG00000154102,C16orf74,0.09002,1.695,++,Not differentially expressed,0,0.475,1,0.4906
3,ENSG00000151576,QTRT2,0.09011,-1.695,--,Not differentially expressed,0,0.188,1,0.6645
12,ENSG00000256310,NDUFA5P6,0.09013,-1.695,0-,Not differentially expressed,16.3,1.195,1,0.2743
X,ENSG00000130826,DKC1,0.09021,1.694,++,Not differentially expressed,0,0.825,1,0.3637
17,ENSG00000161547,SRSF2,0.09021,-1.694,--,Not differentially expressed,0,0.363,1,0.5466
19,ENSG00000042753,AP2S1,0.09021,-1.694,--,Not differentially expressed,0,0.133,1,0.7154
16,ENSG00000179583,CIITA,0.09024,1.694,++,Not differentially expressed,71.9,3.559,1,0.05923
7,ENSG00000128585,MKLN1,0.09026,1.694,++,Not differentially expressed,0.8,1.008,1,0.3153
7,ENSG00000105808,RASA4,0.09037,1.693,++,Not differentially expressed,0,0.243,1,0.6219
2,ENSG00000034510,TMSB10,0.09037,-1.693,--,Not differentially expressed,43.6,1.773,1,0.183
22,ENSG00000186716,BCR,0.09039,1.693,++,Not differentially expressed,0,0.423,1,0.5155
1,ENSG00000213085,CFAP45,0.0904,1.693,0+,Not differentially expressed,16.2,1.193,1,0.2747
16,ENSG00000065427,KARS,0.09044,-1.693,--,Not differentially expressed,7.2,1.078,1,0.2991
6,ENSG00000220494,YAP1P1,0.09047,-1.693,0-,Not differentially expressed,16.1,1.192,1,0.2748
22,ENSG00000100288,CHKB,0.0905,1.693,++,Not differentially expressed,0,0.047,1,0.8282
X,ENSG00000180182,MED14,0.09052,-1.693,--,Not differentially expressed,0,0.618,1,0.4318
1,ENSG00000130764,LRRC47,0.09052,-1.693,--,Not differentially expressed,0,0.653,1,0.4189
14,ENSG00000140043,PTGR2,0.09054,1.693,++,Not differentially expressed,0,0.593,1,0.4413
1,ENSG00000117479,SLC19A2,0.09061,-1.692,--,Not differentially expressed,47.3,1.899,1,0.1682
19,ENSG00000183186,C2CD4C,0.09062,-1.692,--,Not differentially expressed,19.2,1.237,1,0.266
7,ENSG00000166997,CNPY4,0.09069,1.692,-+,Not differentially expressed,25.7,1.346,1,0.246
3,ENSG00000180767,CHST13,0.09075,-1.691,0-,Not differentially expressed,16,1.19,1,0.2752
1,ENSG00000131238,PPT1,0.09076,-1.691,--,Not differentially expressed,0,0.002,1,0.961
22,ENSG00000100292,HMOX1,0.09086,1.691,++,Not differentially expressed,0,0.705,1,0.401
9,ENSG00000177076,ACER2,0.09093,1.691,++,Not differentially expressed,0,0.004,1,0.9526
15,ENSG00000259381,AC090695.1,0.09094,-1.69,--,Not differentially expressed,0,0.013,1,0.9092
6,ENSG00000137261,KIAA0319,0.09098,-1.69,--,Not differentially expressed,3.2,1.033,1,0.3095
21,ENSG00000188992,LIPI,0.09099,-1.69,--,Not differentially expressed,0,0.229,1,0.632
1,ENSG00000143207,COP1,0.09104,-1.69,--,Not differentially expressed,57.8,2.37,1,0.1237
19,ENSG00000213801,ZNF321P,0.09105,1.69,++,Not differentially expressed,0,0.038,1,0.846
X,ENSG00000126945,HNRNPH2,0.09112,-1.69,--,Not differentially expressed,0,0.592,1,0.4417
22,ENSG00000184381,PLA2G6,0.09117,1.689,++,Not differentially expressed,0,0.188,1,0.6644
14,ENSG00000215277,RNF212B,0.09124,-1.689,0-,Not differentially expressed,15.7,1.187,1,0.276
16,ENSG00000103490,PYCARD,0.09124,1.689,++,Not differentially expressed,0,0.051,1,0.822
7,ENSG00000274070,CASTOR2,0.09128,1.689,++,Not differentially expressed,58.1,2.388,1,0.1222
11,ENSG00000205867,KRTAP5-2,0.09131,-1.689,+-,Not differentially expressed,53,2.127,1,0.1447
22,ENSG00000100299,ARSA,0.09132,1.688,++,Not differentially expressed,0,0.19,1,0.6627
17,ENSG00000160606,TLCD1,0.09135,-1.688,--,Not differentially expressed,0,0.008,1,0.9283
17,ENSG00000108702,CCL1,0.09137,-1.688,0-,Not differentially expressed,15.7,1.186,1,0.2762
6,ENSG00000112033,PPARD,0.0914,1.688,++,Not differentially expressed,53.5,2.153,1,0.1423
14,ENSG00000258806,OR11H7,0.09141,-1.688,0-,Not differentially expressed,15.7,1.186,1,0.2762
14,ENSG00000165521,EML5,0.09141,-1.688,--,Not differentially expressed,0,0.384,1,0.5353
7,ENSG00000105939,ZC3HAV1,0.09142,1.688,++,Not differentially expressed,62.8,2.686,1,0.1012
19,ENSG00000105552,BCAT2,0.09143,1.688,++,Not differentially expressed,0,0.753,1,0.3857
19,ENSG00000152433,ZNF547,0.09143,1.688,-+,Not differentially expressed,74.8,3.963,1,0.04652
5,ENSG00000171522,PTGER4,0.09144,1.688,++,Not differentially expressed,0,0.172,1,0.6781
5,ENSG00000244361,RPL30P7,0.09152,1.687,0+,Not differentially expressed,15.6,1.185,1,0.2764
16,ENSG00000166589,CDH16,0.09154,-1.687,0-,Not differentially expressed,15.6,1.185,1,0.2764
X,ENSG00000183479,TREX2,0.09157,1.687,0+,Not differentially expressed,15.6,1.184,1,0.2765
5,ENSG00000047188,YTHDC2,0.09162,-1.687,--,Not differentially expressed,53.5,2.153,1,0.1423
13,ENSG00000125249,RAP2A,0.09164,-1.687,--,Not differentially expressed,44.4,1.797,1,0.18
15,ENSG00000140406,TLNRD1,0.09165,-1.687,+-,Not differentially expressed,43.5,1.769,1,0.1835
19,ENSG00000269540,AC010624.4,0.09165,-1.687,0-,Not differentially expressed,15.5,1.184,1,0.2766
2,ENSG00000176407,KCMF1,0.0917,-1.686,--,Not differentially expressed,0,0.05,1,0.823
16,ENSG00000130656,HBZ,0.09189,-1.685,0-,Not differentially expressed,15.4,1.182,1,0.2769
18,ENSG00000067900,ROCK1,0.09194,1.685,++,Not differentially expressed,0,0.939,1,0.3325
15,ENSG00000092529,CAPN3,0.09196,1.685,++,Not differentially expressed,0,0.454,1,0.5003
8,ENSG00000168484,SFTPC,0.09196,1.685,++,Not differentially expressed,0,0.646,1,0.4215
17,ENSG00000072778,ACADVL,0.09206,1.685,++,Not differentially expressed,0,0.003,1,0.9557
15,ENSG00000073417,PDE8A,0.09206,1.685,++,Not differentially expressed,0,0.443,1,0.5057
4,ENSG00000163995,ABLIM2,0.09207,-1.685,+-,Not differentially expressed,22.8,1.296,1,0.255
MT,ENSG00000198938,MT-CO3,0.09209,1.684,++,Not differentially expressed,46,1.851,1,0.1737
7,ENSG00000230882,AC005077.4,0.09209,-1.684,0-,Not differentially expressed,15.3,1.181,1,0.2772
2,ENSG00000231822,AC019097.1,0.09213,-1.684,--,Not differentially expressed,0,0.671,1,0.4126
9,ENSG00000165280,VCP,0.09215,-1.684,--,Not differentially expressed,0,0.03,1,0.8636
1,ENSG00000081870,HSPB11,0.09217,-1.684,--,Not differentially expressed,0,0.518,1,0.4715
3,ENSG00000114209,PDCD10,0.09218,-1.684,--,Not differentially expressed,55.2,2.232,1,0.1352
12,ENSG00000177192,PUS1,0.09219,-1.684,+-,Not differentially expressed,58.9,2.432,1,0.1189
17,ENSG00000159199,ATP5MC1,0.09223,-1.684,--,Not differentially expressed,0,0.008,1,0.929
3,ENSG00000239997,FCF1P3,0.09223,-1.684,--,Not differentially expressed,0,0.46,1,0.4976
17,ENSG00000187870,RNFT1P3,0.09227,-1.684,0-,Not differentially expressed,15.2,1.179,1,0.2775
1,ENSG00000160678,S100A1,0.09229,1.683,++,Not differentially expressed,17.3,1.21,1,0.2714
12,ENSG00000089060,SLC8B1,0.09233,1.683,++,Not differentially expressed,0,0.025,1,0.8751
6,ENSG00000112773,TENT5A,0.09237,1.683,++,Not differentially expressed,0,0.034,1,0.8531
16,ENSG00000140718,FTO,0.09242,-1.683,+-,Not differentially expressed,86.2,7.266,1,0.007027
1,ENSG00000237861,AL513325.1,0.09242,-1.683,--,Not differentially expressed,0,0.303,1,0.5821
X,ENSG00000183690,EFHC2,0.09246,1.683,++,Not differentially expressed,0,0.28,1,0.5966
15,ENSG00000140521,POLG,0.09247,1.683,++,Not differentially expressed,0,0.242,1,0.6228
12,ENSG00000231887,PRH1,0.09248,-1.682,--,Not differentially expressed,0,0.007,1,0.9346
9,ENSG00000196781,TLE1,0.09254,1.682,++,Not differentially expressed,0,0.042,1,0.8371
22,ENSG00000070010,UFD1,0.09257,1.682,-+,Not differentially expressed,36.2,1.568,1,0.2104
22,ENSG00000099977,DDT,0.09259,-1.682,--,Not differentially expressed,0,0.87,1,0.3511
3,ENSG00000017260,ATP2C1,0.09259,-1.682,--,Not differentially expressed,11.2,1.127,1,0.2885
20,ENSG00000232852,CICP4,0.09262,-1.682,--,Not differentially expressed,0,0.69,1,0.4062
9,ENSG00000165802,NSMF,0.09265,1.682,++,Not differentially expressed,12.8,1.146,1,0.2843
4,ENSG00000260404,AC110079.1,0.09265,-1.682,--,Not differentially expressed,0,0.363,1,0.5467
17,ENSG00000277791,PSMB3,0.09268,-1.681,--,Not differentially expressed,61.8,2.618,1,0.1057
22,ENSG00000239282,CASTOR1,0.09272,1.681,++,Not differentially expressed,0,0.464,1,0.4959
1,ENSG00000226191,CLK3P2,0.09273,-1.681,--,Not differentially expressed,0,0.841,1,0.3592
4,ENSG00000163735,CXCL5,0.09274,1.681,++,Not differentially expressed,0,0.655,1,0.4182
1,ENSG00000078369,GNB1,0.09276,-1.681,--,Not differentially expressed,0,0.759,1,0.3836
15,ENSG00000183496,MEX3B,0.09277,-1.681,+-,Not differentially expressed,17.6,1.214,1,0.2706
20,ENSG00000080189,SLC35C2,0.0928,-1.681,--,Not differentially expressed,0,0.134,1,0.7145
19,ENSG00000181588,MEX3D,0.09282,1.681,++,Not differentially expressed,0,0.105,1,0.7456
12,ENSG00000184047,DIABLO,0.09282,-1.681,--,Not differentially expressed,14.2,1.165,1,0.2805
10,ENSG00000196693,ZNF33B,0.09287,-1.68,--,Not differentially expressed,6.3,1.067,1,0.3015
10,ENSG00000120555,SEPT7P9,0.0929,-1.68,--,Not differentially expressed,0,0.208,1,0.6482
2,ENSG00000249884,RNF103-CHMP3,0.09302,-1.68,--,Not differentially expressed,0,0.83,1,0.3624
X,ENSG00000198934,MAGEE1,0.09303,-1.68,--,Not differentially expressed,0,0.561,1,0.4537
6,ENSG00000217733,CCT7P1,0.09309,-1.679,--,Not differentially expressed,0,0.4,1,0.5273
16,ENSG00000180035,ZNF48,0.09313,-1.679,--,Not differentially expressed,0,0.153,1,0.6956
17,ENSG00000189152,GRAPL,0.09319,1.679,++,Not differentially expressed,0,0,1,0.9907
13,ENSG00000102763,VWA8,0.0932,-1.679,--,Not differentially expressed,32.5,1.481,1,0.2237
16,ENSG00000166546,BEAN1,0.09322,-1.679,+-,Not differentially expressed,70.6,3.402,1,0.06513
8,ENSG00000164761,TNFRSF11B,0.09322,1.679,++,Not differentially expressed,0,0.433,1,0.5107
19,ENSG00000159885,ZNF222,0.09323,-1.679,--,Not differentially expressed,0,0.931,1,0.3347
19,ENSG00000127507,ADGRE2,0.09338,1.678,++,Not differentially expressed,0,0.003,1,0.9571
17,ENSG00000177728,TMEM94,0.09342,1.678,++,Not differentially expressed,0,0.47,1,0.4929
11,ENSG00000173914,RBM4B,0.09344,1.678,++,Not differentially expressed,0,0.024,1,0.8764
16,ENSG00000159593,NAE1,0.09345,-1.677,--,Not differentially expressed,19.3,1.239,1,0.2656
16,ENSG00000262187,AC137800.2,0.09346,-1.677,+-,Not differentially expressed,66,2.94,1,0.08642
X,ENSG00000147145,LPAR4,0.09347,1.677,++,Not differentially expressed,67.6,3.086,1,0.07898
19,ENSG00000185453,ZSWIM9,0.09348,1.677,++,Not differentially expressed,0,0.003,1,0.9552
12,ENSG00000215021,PHB2,0.09354,-1.677,--,Not differentially expressed,0,0.119,1,0.7297
11,ENSG00000179292,TMEM151A,0.09365,-1.676,--,Not differentially expressed,0,0.542,1,0.4618
2,ENSG00000118257,NRP2,0.09367,1.676,+-,Not differentially expressed,87.2,7.791,1,0.005249
18,ENSG00000168234,TTC39C,0.0937,-1.676,--,Not differentially expressed,0,0.01,1,0.9216
11,ENSG00000175334,BANF1,0.09375,1.676,++,Not differentially expressed,80,5.008,1,0.02522
11,ENSG00000185201,IFITM2,0.09376,1.676,++,Not differentially expressed,55.4,2.243,1,0.1343
2,ENSG00000197223,C1D,0.09385,-1.675,--,Not differentially expressed,0,0.32,1,0.5715
19,ENSG00000239998,LILRA2,0.09387,1.675,++,Not differentially expressed,0,0.76,1,0.3834
12,ENSG00000123411,IKZF4,0.09389,1.675,++,Not differentially expressed,24.7,1.328,1,0.2492
5,ENSG00000113296,THBS4,0.09393,1.675,++,Not differentially expressed,0,0.442,1,0.5062
2,ENSG00000163359,COL6A3,0.09394,1.675,++,Not differentially expressed,64.9,2.848,1,0.09149
16,ENSG00000223496,EXOSC6,0.09395,-1.675,--,Not differentially expressed,0,0.928,1,0.3354
1,ENSG00000184678,HIST2H2BE,0.09399,1.675,++,Not differentially expressed,66.8,3.012,1,0.08263
8,ENSG00000164695,CHMP4C,0.09401,1.675,++,Not differentially expressed,35.1,1.542,1,0.2143
1,ENSG00000176022,B3GALT6,0.09406,-1.674,--,Not differentially expressed,0,0.003,1,0.9532
10,ENSG00000150593,PDCD4,0.09407,1.674,++,Not differentially expressed,66.5,2.987,1,0.08393
12,ENSG00000204954,C12orf73,0.09407,-1.674,--,Not differentially expressed,0,0.016,1,0.8985
9,ENSG00000198467,TPM2,0.09409,1.674,++,Not differentially expressed,0.8,1.008,1,0.3154
Y,ENSG00000165246,NLGN4Y,0.09412,-1.674,--,Not differentially expressed,0,0.217,1,0.6411
6,ENSG00000283453,AC244258.1,0.09413,1.674,++,Not differentially expressed,78.1,4.567,1,0.0326
14,ENSG00000119632,IFI27L2,0.09419,1.674,-+,Not differentially expressed,88,8.366,1,0.003822
6,ENSG00000146409,SLC18B1,0.09419,1.674,-+,Not differentially expressed,65.9,2.929,1,0.087
1,ENSG00000285777,AL139142.2,0.09423,1.673,++,Not differentially expressed,0,0.188,1,0.6646
16,ENSG00000159714,ZDHHC1,0.09424,1.673,++,Not differentially expressed,38.8,1.634,1,0.2011
7,ENSG00000106635,BCL7B,0.09426,1.673,++,Not differentially expressed,38,1.613,1,0.204
8,ENSG00000176406,RIMS2,0.0943,-1.673,--,Not differentially expressed,58.4,2.405,1,0.121
20,ENSG00000125870,SNRPB2,0.09434,-1.673,--,Not differentially expressed,27.1,1.372,1,0.2414
11,ENSG00000248643,RBM14-RBM4,0.09443,-1.672,--,Not differentially expressed,0,0.358,1,0.5495
16,ENSG00000077238,IL4R,0.09445,1.672,++,Not differentially expressed,61,2.565,1,0.1093
1,ENSG00000284773,AC114490.3,0.09449,-1.672,+-,Not differentially expressed,61.9,2.623,1,0.1053
4,ENSG00000163138,PACRGL,0.0945,-1.672,--,Not differentially expressed,60.2,2.516,1,0.1127
X,ENSG00000072315,TRPC5,0.0945,-1.672,--,Not differentially expressed,0,0.001,1,0.9764
10,ENSG00000283101,BMS1P21,0.09452,1.672,++,Not differentially expressed,0,0.031,1,0.8611
11,ENSG00000214063,TSPAN4,0.09453,1.672,++,Not differentially expressed,40.7,1.687,1,0.194
17,ENSG00000004975,DVL2,0.09455,1.672,++,Not differentially expressed,60.5,2.531,1,0.1116
15,ENSG00000169783,LINGO1,0.09464,-1.671,+-,Not differentially expressed,81.2,5.31,1,0.02121
1,ENSG00000188807,TMEM201,0.09473,1.671,++,Not differentially expressed,49.5,1.98,1,0.1594
14,ENSG00000100926,TM9SF1,0.09475,1.671,++,Not differentially expressed,44.9,1.814,1,0.1781
6,ENSG00000112031,MTRF1L,0.09489,1.67,-+,Not differentially expressed,47.5,1.903,1,0.1677
12,ENSG00000111727,HCFC2,0.09493,-1.67,--,Not differentially expressed,32.8,1.488,1,0.2226
5,ENSG00000092421,SEMA6A,0.09494,1.67,++,Not differentially expressed,0,0,1,0.9824
19,ENSG00000105467,SYNGR4,0.09495,-1.67,0-,Not differentially expressed,13.8,1.16,1,0.2814
6,ENSG00000220884,MESTP1,0.09495,-1.67,--,Not differentially expressed,0,0.244,1,0.621
1,ENSG00000143499,SMYD2,0.09498,-1.67,--,Not differentially expressed,44.4,1.799,1,0.1798
2,ENSG00000115657,ABCB6,0.09505,1.669,++,Not differentially expressed,0,0.271,1,0.6025
1,ENSG00000143167,GPA33,0.09508,-1.669,0-,Not differentially expressed,13.7,1.159,1,0.2816
9,ENSG00000106733,NMRK1,0.09514,-1.669,--,Not differentially expressed,0,0.218,1,0.6407
9,ENSG00000136869,TLR4,0.09517,1.669,-+,Not differentially expressed,23,1.298,1,0.2546
7,ENSG00000127993,RBM48,0.09523,1.668,++,Not differentially expressed,0,0.116,1,0.7338
14,ENSG00000129484,PARP2,0.09533,-1.668,+-,Not differentially expressed,66.5,2.981,1,0.08425
9,ENSG00000198785,GRIN3A,0.09537,-1.668,--,Not differentially expressed,0,0.56,1,0.4543
2,ENSG00000135917,SLC19A3,0.09545,1.667,++,Not differentially expressed,47.5,1.904,1,0.1677
19,ENSG00000131864,USP29,0.0955,1.667,++,Not differentially expressed,25.5,1.343,1,0.2466
2,ENSG00000115307,AUP1,0.09551,1.667,-+,Not differentially expressed,21.5,1.273,1,0.2592
5,ENSG00000158458,NRG2,0.09559,1.667,++,Not differentially expressed,5.4,1.057,1,0.3039
10,ENSG00000196072,BLOC1S2,0.09561,-1.667,--,Not differentially expressed,11.2,1.126,1,0.2886
13,ENSG00000178695,KCTD12,0.09563,1.666,++,Not differentially expressed,56.7,2.309,1,0.1286
6,ENSG00000198818,SFT2D1,0.09567,1.666,++,Not differentially expressed,0,0.333,1,0.564
13,ENSG00000132970,WASF3,0.09573,1.666,++,Not differentially expressed,0,0.893,1,0.3445
19,ENSG00000175691,ZNF77,0.09575,-1.666,+-,Not differentially expressed,70.3,3.367,1,0.0665
1,ENSG00000270728,AL035413.2,0.09582,1.665,++,Not differentially expressed,62.4,2.659,1,0.103
14,ENSG00000100439,ABHD4,0.09584,1.665,++,Not differentially expressed,71.5,3.515,1,0.06083
11,ENSG00000149257,SERPINH1,0.09588,1.665,++,Not differentially expressed,36.8,1.581,1,0.2086
1,ENSG00000143416,SELENBP1,0.09589,1.665,++,Not differentially expressed,0,0.23,1,0.6319
5,ENSG00000082196,C1QTNF3,0.09598,1.665,++,Not differentially expressed,0,0.866,1,0.3521
1,ENSG00000240520,UOX,0.09599,-1.665,--,Not differentially expressed,45.6,1.84,1,0.175
5,ENSG00000150712,MTMR12,0.096,-1.665,--,Not differentially expressed,0,0.333,1,0.5638
16,ENSG00000140854,KATNB1,0.09604,-1.664,--,Not differentially expressed,0,0.429,1,0.5124
7,ENSG00000196456,ZNF775,0.09607,1.664,++,Not differentially expressed,2.9,1.03,1,0.3102
X,ENSG00000134597,RBMX2,0.09612,-1.664,--,Not differentially expressed,77.6,4.466,1,0.03458
9,ENSG00000257198,FAM205BP,0.09612,-1.664,--,Not differentially expressed,0,0.042,1,0.8377
20,ENSG00000277112,ANKRD20A21P,0.09618,-1.664,--,Not differentially expressed,0,0.33,1,0.5655
13,ENSG00000134905,CARS2,0.09618,1.664,++,Not differentially expressed,0,0.57,1,0.4503
19,ENSG00000271499,AC011477.6,0.09621,-1.664,0-,Not differentially expressed,13.1,1.151,1,0.2833
7,ENSG00000272601,AC010655.3,0.09631,1.663,++,Not differentially expressed,0,0.066,1,0.7978
3,ENSG00000241218,AC063944.2,0.09635,1.663,++,Not differentially expressed,0,0.064,1,0.8006
9,ENSG00000167114,SLC27A4,0.09637,-1.663,--,Not differentially expressed,0,0.182,1,0.6695
19,ENSG00000213926,MSRB1P1,0.09645,-1.662,0-,Not differentially expressed,13,1.15,1,0.2836
5,ENSG00000048162,NOP16,0.09648,-1.662,--,Not differentially expressed,0,0.186,1,0.6665
X,ENSG00000102287,GABRE,0.09652,1.662,++,Not differentially expressed,54.8,2.212,1,0.1369
12,ENSG00000111203,ITFG2,0.09657,1.662,++,Not differentially expressed,0,0.54,1,0.4624
19,ENSG00000234773,AC012618.3,0.09658,-1.662,--,Not differentially expressed,0,0.014,1,0.9044
2,ENSG00000015568,RGPD5,0.0966,-1.662,--,Not differentially expressed,0,0,1,0.9862
3,ENSG00000090520,DNAJB11,0.09661,-1.662,--,Not differentially expressed,0,0.031,1,0.8608
19,ENSG00000104918,RETN,0.09663,-1.661,0-,Not differentially expressed,12.9,1.148,1,0.2839
5,ENSG00000113273,ARSB,0.09663,1.661,++,Not differentially expressed,42.8,1.748,1,0.1861
